fight_pk,fighter,res,avg_kd,avg_kds_received,avg_pass,avg_rev,avg_sig_reg_mixture,avg_sig_reg_percent,avg_sig_strike_attempts,avg_sig_strike_differential,avg_sig_strike_landed,avg_sig_strike_percent,avg_sig_strikes_avoided,avg_sig_strikes_received,avg_strike_attempts,avg_strike_differential,avg_strike_landed,avg_strike_percent,avg_strikes_avoided,avg_strikes_received,avg_sub_attempts,avg_td_attempts,avg_td_landed,avg_td_percent,avg_tds_defended,avg_tds_received,days_since_last_fight,loss_could_not_continue,loss_decision,loss_dq,loss_ko/tko,loss_other,loss_overturned,loss_submission,loss_tko,num_fights,total_kds_received,total_losses,total_rounds,total_sig_strikes_absorbed,total_strikes_absorbed,total_wins,weight_class,win_could_not_continue,win_decision,win_dq,win_ko/tko,win_other,win_overturned,win_submission,win_tko
3,Art Jimmerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
5,Gerard Gordeau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
1,Gerard Gordeau,1,1,0,0,0,1,0.6470588235294118,17,0,11,0.6470588235294118,3,0,17,0,11,0.6470588235294118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Men_Catchweight,0,0,0,1,0,0,0,0
8,Gerard Gordeau,0,1,0,0,0,1,0.6470588235294118,17,0,11,0.6470588235294118,3,0,17,0,11,0.6470588235294118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,Men_Catchweight,0,0,0,2,0,0,0,0
7,Jason DeLucia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
4,Ken Shamrock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
6,Ken Shamrock,0,0,0,0,0,0.25,1,1,0,1,1,4,4,4,0,4,1,4,16,2,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,16,1,Men_Catchweight,0,0,0,0,0,0,1,0
2,Kevin Rosier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
5,Kevin Rosier,0,2,0,0,0,0.5094339622641509,0.6625,27,0,15,0.5555555555555556,16,12,53,0,38,0.71698113207547165,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,13,1,Men_Catchweight,0,0,0,1,0,0,0,0
4,Patrick Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0
